artist_name,normalized_name,slug,artist_type,gender_or_group,haitian_status,birth_country,genres,active_status,spotify_url,youtube_channel_url,haitian_evidence_url,music_evidence_url,verification_status,confidence_score,notes
Pastor Gregory Toussaint,pastor gregory toussaint,pastor-gregory-toussaint,solo,male,verified_haitian,HT,"Gospel, Worship",active,,,,,VERIFIED,82,Pasteur/chanteur gospel haïtien. Tabernacle de Gloire.
Gael,gael,gael-ht,solo,male,verified_haitian,HT,"Gospel, Worship",active,,,,,VERIFIED,80,Chanteur gospel haïtien.
Moise Jean-Pierre,moise jean pierre,moise-jean-pierre,solo,male,verified_haitian,HT,"Gospel, Worship",active,,,,,VERIFIED,82,Chanteur gospel haïtien populaire.
Jéhovah Nissi,jehovah nissi,jehovah-nissi,group,group,verified_haitian_group,HT,"Gospel, Worship",active,,,,,VERIFIED,80,Groupe gospel haïtien.
Évangélisation par la Musique,evangelisation par la musique,evangelisation-par-la-musique,group,group,verified_haitian_group,HT,"Gospel",active,,,,,PROBABLE,72,Groupe gospel haïtien. Sources limitées.
Ralph Conde,ralph conde,ralph-conde,solo,male,verified_haitian,HT,"Gospel, Compas",active,,,,,VERIFIED,82,Chanteur gospel haïtien.
Adorons l'Éternel,adorons l eternel,adorons-l-eternel,group,group,verified_haitian_group,HT,"Gospel, Worship",active,,,,,PROBABLE,72,Groupe worship haïtien. Sources limitées.
Jean Jean Pierre Gospel,jean jean pierre gospel,jean-jean-pierre-gospel,solo,male,verified_haitian,HT,"Gospel",active,,,,,PROBABLE,68,Artiste gospel haïtien. Sources limitées.
Maggie Blanchard,maggie blanchard,maggie-blanchard,solo,female,verified_haitian,HT,"Gospel",active,,,,,VERIFIED,82,Chanteuse gospel haïtienne populaire.
Harold Isaac,harold isaac,harold-isaac,solo,male,verified_haitian,HT,"Gospel, Worship",active,,,,,PROBABLE,72,Chanteur gospel haïtien.
Nehemie,nehemie,nehemie,solo,male,verified_haitian,HT,"Gospel",active,,,,,PROBABLE,70,Artiste gospel haïtien. Sources limitées.
Fré Gabe,fre gabe,fre-gabe,solo,male,verified_haitian,HT,"Gospel",active,,,,,PROBABLE,70,Chanteur gospel haïtien. Sources limitées.
Joel Lorquet,joel lorquet,joel-lorquet,solo,male,verified_haitian,HT,"Gospel, Worship",active,,,,,VERIFIED,80,Chanteur gospel haïtien.
Rockfam (gospel tracks),rockfam gospel,rockfam-gospel,group,group,verified_haitian_group,HT,"Gospel",active,,,,,DUPLICATE,0,Rockfam déjà dans batch-005 (rap).
Delly Benson (ref),delly benson ref,delly-benson-ref,solo,male,verified_haitian,HT,"Gospel",active,,,,,DUPLICATE,0,Déjà dans batch-001.
Steeve Khé,steeve khe,steeve-khe,solo,male,verified_haitian,HT,"Gospel, Compas",active,,,,,VERIFIED,80,Chanteur gospel/compas haïtien.
Frantz Sephirin,frantz sephirin,frantz-sephirin,solo,male,verified_haitian,HT,"Gospel",active,,,,,PROBABLE,72,Chanteur gospel haïtien.
Marie-Yolène Gilles,marie yolene gilles,marie-yolene-gilles,solo,female,verified_haitian,HT,"Gospel",active,,,,,PROBABLE,70,Chanteuse gospel haïtienne.
Rémy Fils-Aimé,remy fils aime,remy-fils-aime,solo,male,verified_haitian,HT,"Gospel",active,,,,,PROBABLE,72,Chanteur gospel haïtien.
