artist_name,normalized_name,slug,artist_type,gender_or_group,haitian_status,birth_country,genres,active_status,spotify_url,youtube_channel_url,haitian_evidence_url,music_evidence_url,verification_status,confidence_score,notes
Althiery Dorival (Ti Paris) ref,althiery dorival ref,althiery-dorival-ref-2,solo,male,verified_haitian,HT,"Twoubadou",inactive,,,,,DUPLICATE,0,Ti Paris déjà dans batch-002.
Coupé Cloué (ref batch),coupe cloue ref batch,coupe-cloue-ref-3,solo,male,verified_haitian,HT,"Compas",inactive,,,,,DUPLICATE,0,Déjà batch-001.
Gérard Dupervil (chanson),gerard dupervil chanson,gerard-dupervil-chanson,solo,male,verified_haitian,HT,"Chanson",inactive,,,,,DUPLICATE,0,Déjà batch-008.
Wilbert Baigné,wilbert baigne,wilbert-baigne,solo,male,verified_haitian,HT,"Twoubadou, Compas",inactive,,,,,PROBABLE,72,Artiste haïtien historique Cap-Haïtien.
André Déjean,andre dejean,andre-dejean,solo,male,verified_haitian,HT,"Compas, Mini-Jazz",inactive,,,https://en.wikipedia.org/wiki/Mini-jazz,,VERIFIED,84,Musicien haïtien. Les Frères Déjean fondateur.
Lyonel Bénoit,lyonel benoit,lyonel-benoit,solo,male,verified_haitian,HT,"Compas, Twoubadou",inactive,,,,,PROBABLE,72,Artiste haïtien historique.
Murat Pierre,murat pierre,murat-pierre,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,70,Artiste compas haïtien Cap-Haïtien.
Jean Gesner Henry (ref),jean gesner henry,jean-gesner-henry,solo,male,verified_haitian,HT,"Compas",inactive,,,,,DUPLICATE,0,C'est Coupé Cloué déjà batch-001.
Difficiles (ref),difficiles ref,difficiles-ref,group,group,verified_haitian_group,HT,"Mini-Jazz",inactive,,,,,DUPLICATE,0,Déjà batch-004.
Ricardo Franck,ricardo franck,ricardo-franck,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,72,Musicien compas haïtien.
Ti Rège,ti rege,ti-rege,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,70,Artiste compas haïtien Cap-Haïtien.
King Kino,king kino,king-kino,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,72,Artiste compas haïtien. Sources limitées.
Dady (Les Cayes),dady les cayes,dady-les-cayes,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,68,Artiste compas régional Les Cayes. Sources limitées.
Nu Band,nu band,nu-band-ht,group,group,verified_haitian_group,HT,"Compas",active,,,,,PROBABLE,70,Groupe compas haïtien.
Mystik (Les Cayes),mystik les cayes,mystik-les-cayes,group,group,verified_haitian_group,HT,"Compas",active,,,,,PROBABLE,68,Groupe compas régional Les Cayes.
Tropical Combo de Ti Manno,tropical combo ti manno,tropical-combo-ti-manno,group,group,verified_haitian_group,HT,"Compas",inactive,,,https://en.wikipedia.org/wiki/Music_of_Haiti,,VERIFIED,84,Groupe compas de Ti Manno. Orchestre historique.
Orchestre Citadelle,orchestre citadelle,orchestre-citadelle,group,group,verified_haitian_group,HT,"Compas",inactive,,,,,PROBABLE,72,Orchestre compas Cap-Haïtien historique.
Rèv (Jacmel),rev jacmel,rev-jacmel,group,group,verified_haitian_group,HT,"Compas",active,,,,,PROBABLE,68,Groupe compas régional Jacmel.
Meridional des Cayes,meridional des cayes,meridional-des-cayes,group,group,verified_haitian_group,HT,"Compas",active,,,,,VERIFIED,80,Orchestre compas des Cayes. Groupe régional actif.
Orchestre Unistar,orchestre unistar,orchestre-unistar,group,group,verified_haitian_group,HT,"Compas",active,,,,,PROBABLE,72,Orchestre compas haïtien.
Gérald Altéus,gerald alteus,gerald-alteus,solo,male,verified_haitian,HT,"Twoubadou, Chanson",active,,,,,PROBABLE,72,Artiste twoubadou haïtien.
