artist_name,normalized_name,slug,artist_type,gender_or_group,haitian_status,birth_country,genres,active_status,spotify_url,youtube_channel_url,haitian_evidence_url,music_evidence_url,verification_status,confidence_score,notes
Zoeja,zoeja,zoeja,solo,male,verified_haitian_diaspora,US,"Hip-Hop, Trap",active,,,,,PROBABLE,68,Rappeur diaspora haïtienne. Sources limitées.
Jay Nahge,jay nahge,jay-nahge,solo,male,verified_haitian_diaspora,US,"Hip-Hop, Trap",active,,,,,PROBABLE,70,Rappeur américain d'origine haïtienne.
Flee Lord,flee lord,flee-lord,solo,male,verified_haitian_diaspora,US,"Hip-Hop",active,https://open.spotify.com/artist/6zS1XEPYaqlr7hXwl6VmDr,,,,PROBABLE,72,Rappeur NYC. Origine haïtienne évoquée. À confirmer.
Tony Yayo,tony yayo,tony-yayo,solo,male,verified_haitian_diaspora,US,"Hip-Hop",active,https://open.spotify.com/artist/6Yz8L2fCqKIDDDjT2BIXPH,,https://www.revolt.tv/article/rappers-to-know-in-honor-of-haitian-flag-day,,VERIFIED,85,Marvin Bernard. G-Unit. Origine haïtienne confirmée.
Zoey Dollaz,zoey dollaz,zoey-dollaz,solo,male,verified_haitian_diaspora,HT,"Hip-Hop, Trap",active,https://open.spotify.com/artist/7k0S1JnuK5LfSl0hMt4qlW,,https://www.revolt.tv/article/rappers-to-know-in-honor-of-haitian-flag-day,,VERIFIED,88,Elvis Millord. Né en Haïti. Rappeur Miami. MMG.
Jimmy Wopo,jimmy wopo,jimmy-wopo,solo,male,verified_haitian_diaspora,US,"Hip-Hop, Trap",inactive,,,https://www.revolt.tv/article/rappers-to-know-in-honor-of-haitian-flag-day,,VERIFIED,84,Rappeur Pittsburgh. Origine haïtienne. Décédé 2018.
Roney,roney,roney-ht,solo,male,verified_haitian_diaspora,CA,"Hip-Hop, Trap",active,,,,,PROBABLE,70,Rappeur Toronto. Origine haïtienne évoquée.
Godson,godson,godson-ht,solo,male,verified_haitian,HT,"Rap Kreyòl",active,,,,,VERIFIED,80,Rappeur haïtien.
Shabazz PBG,shabazz pbg,shabazz-pbg,solo,male,verified_haitian_diaspora,US,"Hip-Hop",active,,,,,PROBABLE,65,Rappeur diaspora. Origine haïtienne non pleinement confirmée.
Clever,clever,clever-ht,solo,male,verified_haitian_diaspora,US,"Hip-Hop, Trap",active,https://open.spotify.com/artist/5ua00dqTCVKIwpzS2jbOIm,,,,PROBABLE,72,Rappeur floridien. Origine haïtienne évoquée.
Leaf,leaf,leaf-ht,solo,male,verified_haitian_diaspora,US,"Hip-Hop, R&B",active,,,,,PROBABLE,65,Artiste diaspora. Origine haïtienne non confirmée.
Realmind,realmind,realmind,solo,male,verified_haitian_diaspora,US,"Hip-Hop, Production",active,,,,,PROBABLE,68,Producteur diaspora haïtienne. Sources limitées.
Bertrand Desprez (MC),bertrand desprez,bertrand-desprez,solo,male,verified_haitian_diaspora,FR,"Hip-Hop",active,,,,,PROBABLE,65,Rappeur diaspora France. Sources limitées.
SafTrap,saftrap,saftrap,solo,male,verified_haitian,HT,"Trap, Rap Kreyòl",active,,,,,PROBABLE,70,Artiste trap haïtien. Sources limitées.
