artist_name,normalized_name,slug,artist_type,gender_or_group,haitian_status,birth_country,genres,active_status,spotify_url,youtube_channel_url,haitian_evidence_url,music_evidence_url,verification_status,confidence_score,notes
Djakout #1,djakout 1,djakout-1,group,group,verified_haitian_group,HT,"Compas",active,https://open.spotify.com/artist/6dvWsM6ypDpD2cFMqTkE6H,,https://en.wikipedia.org/wiki/Djakout_Mizik,https://en.wikipedia.org/wiki/Djakout_Mizik,VERIFIED,94,Djakout Mizik. Groupe compas haïtien. Nouvelle génération.
Harmonik,harmonik,harmonik,group,group,verified_haitian_group,HT,"Compas",active,https://open.spotify.com/artist/5TQaB2X3uq4czj3YKwV7nz,,https://en.wikipedia.org/wiki/Harmonik,https://open.spotify.com/artist/5TQaB2X3uq4czj3YKwV7nz,VERIFIED,92,Groupe compas haïtien fondé en 2012.
Nu Look,nu look,nu-look,group,group,verified_haitian_group,HT,"Compas",active,https://open.spotify.com/artist/34bEXxME3gJ5dOLCYhZhia,,https://en.wikipedia.org/wiki/Arly_Larivi%C3%A8re,https://en.wikipedia.org/wiki/Arly_Larivi%C3%A8re,VERIFIED,93,Groupe compas. Arly Larivière leader. Cap-Haïtien.
Zenglen,zenglen,zenglen,group,group,verified_haitian_group,HT,"Compas",active,https://open.spotify.com/artist/5O5c8R2YfKRLqGfWQaE7B0,,,https://open.spotify.com/artist/5O5c8R2YfKRLqGfWQaE7B0,VERIFIED,88,Groupe compas haïtien.
Disip,disip,disip,group,group,verified_haitian_group,HT,"Compas",active,https://open.spotify.com/artist/6MvtnhlaZhRFNH97TA04Wj,,,,VERIFIED,86,Groupe compas haïtien. Gazzman Couleur leader.
Klass,klass,klass,group,group,verified_haitian_group,HT,"Compas",active,https://open.spotify.com/artist/4AWVuNXGj7FVD4Z5JI44Ow,,https://cod-bullfrog-am4d.squarespace.com/,https://open.spotify.com/artist/4AWVuNXGj7FVD4Z5JI44Ow,VERIFIED,90,Groupe compas fondé en 2012 par Richie.
Arly Larivière,arly lariviere,arly-lariviere,solo,male,verified_haitian,HT,"Compas",active,https://open.spotify.com/artist/3CiJLcCaEK2FiJx7b7cBp9,,https://en.wikipedia.org/wiki/Arly_Larivi%C3%A8re,https://en.wikipedia.org/wiki/Arly_Larivi%C3%A8re,VERIFIED,93,Leader de Nu-Look. Né au Cap-Haïtien.
Gazzman Couleur,gazzman couleur,gazzman-couleur,solo,male,verified_haitian,HT,"Compas",active,,,,,VERIFIED,82,Leader de Disip. Artiste compas haïtien.
Izolan,izolan,izolan,solo,male,verified_haitian,HT,"Rap Kreyòl",active,,,https://thesource.com/2026/02/07/izolan-haitis-hip-hop-leader-driving-change-on-and-off-the-stage/,https://www.creole101.com/lyrics/artist/izolan-426/,VERIFIED,93,Jean Léonard Tout-Puissant. Né à Arcahaie. Barikad Crew + solo.
Barikad Crew,barikad crew,barikad-crew,group,group,verified_haitian_group,HT,"Rap Kreyòl",inactive,,,https://en.wikipedia.org/wiki/Barikad_Crew,https://en.wikipedia.org/wiki/Barikad_Crew,VERIFIED,94,Groupe rap kreyòl de Port-au-Prince. Album Goumen Pou Saw Kwè 2007.
