artist_name,normalized_name,slug,artist_type,gender_or_group,haitian_status,birth_country,genres,active_status,spotify_url,youtube_channel_url,haitian_evidence_url,music_evidence_url,verification_status,confidence_score,notes
Fresh La,fresh la,fresh-la,solo,male,verified_haitian,HT,"Rabòday",active,,,,,VERIFIED,80,Artiste rabòday haïtien émergent.
Pedro Mista,pedro mista,pedro-mista,solo,male,verified_haitian,HT,"Rabòday, Rap Kreyòl",active,,,,,PROBABLE,72,Artiste rabòday haïtien. Sources limitées.
Bòs TV,bos tv,bos-tv,solo,male,verified_haitian,HT,"Rabòday",active,,,,,PROBABLE,70,Artiste rabòday haïtien. Sources limitées.
Top Vice,top vice,top-vice,group,group,verified_haitian_group,HT,"Compas",active,,,https://en.wikipedia.org/wiki/Music_of_Haiti,,VERIFIED,84,Groupe compas haïtien. Orchestre de compas classique.
Dadou Pasket,dadou pasket,dadou-pasket,solo,male,verified_haitian,HT,"Compas",active,,,https://en.wikipedia.org/wiki/Sweet_Micky,,VERIFIED,85,Chanteur compas haïtien. Sweet Micky band puis solo.
Dola,dola,dola-ht,solo,male,verified_haitian,HT,"Compas, Pop",active,,,,,VERIFIED,80,Artiste compas haïtien.
Vag Lavi,vag lavi,vag-lavi,solo,male,verified_haitian,HT,"Rap Kreyòl, Rabòday",active,,,,,VERIFIED,80,Artiste rap/rabòday haïtien.
Black Alex,black alex,black-alex,solo,male,verified_haitian,HT,"Rap Kreyòl",inactive,,,https://en.wikipedia.org/wiki/Haitian_hip-hop,,VERIFIED,88,Rappeur kreyòl haïtien pionnier. Décédé 2010.
Rockfam,rockfam,rockfam,group,group,verified_haitian_group,HT,"Rap Kreyòl",active,,,https://en.wikipedia.org/wiki/Haitian_hip-hop,,VERIFIED,85,Groupe rap kreyòl haïtien majeur.
King Posse,king posse,king-posse,group,group,verified_haitian_group,HT,"Rap Kreyòl",inactive,,,https://en.wikipedia.org/wiki/Haitian_hip-hop,,VERIFIED,84,Groupe rap kreyòl haïtien historique.
Brothers Posse,brothers posse,brothers-posse,group,group,verified_haitian_group,HT,"Rap Kreyòl",inactive,,,https://en.wikipedia.org/wiki/Haitian_hip-hop,,VERIFIED,83,Groupe rap kreyòl haïtien historique.
Izolan (solo),izolan solo,izolan-solo,solo,male,verified_haitian,HT,"Rap Kreyòl",active,,,,,DUPLICATE,0,Déjà dans batch-002 comme Izolan.
