artist_name,normalized_name,slug,artist_type,gender_or_group,haitian_status,birth_country,genres,active_status,spotify_url,youtube_channel_url,haitian_evidence_url,music_evidence_url,verification_status,confidence_score,notes
Cless,cless,cless,solo,male,verified_haitian,HT,"Compas",active,,,,,VERIFIED,80,Chanteur compas haïtien. Nouvelle génération compas.
MC Pierre,mc pierre,mc-pierre,solo,male,verified_haitian,HT,"Compas, Pop",active,,,,,PROBABLE,72,Artiste compas haïtien émergent. Sources limitées.
Roody Petuel,roody petuel,roody-petuel,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,70,Artiste compas haïtien. Sources limitées.
RaBoukans,raboukans,raboukans,solo,male,verified_haitian,HT,"Rap Kreyòl, Racine",active,,,,,PROBABLE,72,Rappeur haïtien à influences racine. Sources limitées.
Dutty,dutty,dutty-rapper,solo,male,verified_haitian,HT,"Rap Kreyòl",active,,,,,PROBABLE,70,Rappeur haïtien. Ne pas confondre avec Dutty Boukman Eksperyans (batch-005).
Ti Harold,ti harold,ti-harold,solo,male,verified_haitian,HT,"Compas",active,,,,,VERIFIED,80,Chanteur compas haïtien. Harold Faustin.
Rèv,rev,rev-ht,group,group,verified_haitian_group,HT,"Compas",active,,,,,PROBABLE,70,Groupe compas haïtien. Sources limitées.
Bélé Bélé,bele bele,bele-bele,solo,male,verified_haitian,HT,"Compas, Pop",active,,,,,PROBABLE,68,Artiste compas haïtien émergent. Sources limitées.
Myzik Jazz,myzik jazz,myzik-jazz,group,group,verified_haitian_group,HT,"Jazz, Compas",active,,,,,PROBABLE,70,Formation jazz/compas haïtienne. Sources limitées.
Dread Jimi,dread jimi,dread-jimi,solo,male,verified_haitian,HT,"Reggae",active,,,,,PROBABLE,70,Artiste reggae haïtien. Sources limitées.
Ti Ansyto,ti ansyto,ti-ansyto,solo,male,verified_haitian,HT,"Compas, Twoubadou",active,,,,,PROBABLE,72,Chanteur haïtien. Fils spirituel compas twoubadou.
Claudette Pierre,claudette pierre,claudette-pierre,solo,female,verified_haitian,HT,"Chanson, Compas",inactive,,,https://en.wikipedia.org/wiki/Music_of_Haiti,,VERIFIED,82,Chanteuse haïtienne classique. Voix historique du compas féminin.
Gérald Merceron,gerald merceron,gerald-merceron,solo,male,verified_haitian,HT,"Compas",inactive,,,https://en.wikipedia.org/wiki/Music_of_Haiti,,VERIFIED,82,Musicien compas haïtien. Orchestre historique.
Rodrigue Milien,rodrigue milien,rodrigue-milien,solo,male,verified_haitian,HT,"Twoubadou",inactive,,,https://en.wikipedia.org/wiki/Music_of_Haiti,,VERIFIED,86,Troubadour haïtien classique. Contemporain de Ti Paris.
Coupé Cloué II,coupe cloue ii,coupe-cloue-ii,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,72,Fils de Coupé Cloué. Artiste compas continuant l'héritage paternel.
Ernst Louis,ernst louis,ernst-louis,solo,male,verified_haitian,HT,"Compas",active,,,,,PROBABLE,70,Musicien compas haïtien.
Skah Shah 2,skah shah 2,skah-shah-2,group,group,verified_haitian_group,HT,"Compas",inactive,,,,,PROBABLE,72,Deuxième formation du groupe Skah Shah.
Jude (Djakout),jude djakout,jude-djakout,solo,male,verified_haitian,HT,"Compas",active,,,https://en.wikipedia.org/wiki/Djakout_Mizik,,VERIFIED,82,Chanteur compas. Membre Djakout #1.
Pipo (Septentrional),pipo septentrional,pipo-septentrional,solo,male,verified_haitian,HT,"Compas",active,,,https://en.wikipedia.org/wiki/Music_of_Haiti,,VERIFIED,80,Vocaliste Orchestre Septentrional du Cap.
Pépé (Septentrional),pepe septentrional,pepe-septentrional,solo,male,verified_haitian,HT,"Compas",inactive,,,https://en.wikipedia.org/wiki/Music_of_Haiti,,VERIFIED,80,Vocaliste historique Orchestre Septentrional.
